SKU Number,Warehouse Quantity
AP-1YR-LIC,0
Durapouch-EX,5
SN-Ultra-AS,4
SN-Ultra-LPK,4
DURAPRO-PIB20L-IND,0
EPA5006GP,19
EPD-4824,1
AP-5YR-LIC,0
N-EnStationAC,20
DURAFON,6
DURAFON,2
ENH500v3,20
AP-3YR-LIC,0
AP-Co-LIC,0
DuraFon-CC,1
DuraFon-CH,0
DuraFon-UHF-CH,0
DuraFon-UHF-HBC,0
SN-ULTRA-EPET,0
SN-ULTRA-EPMH,0
SN-ULTRA-EPMT,0
SW-1YR-LIC,0
SW-3YR-LIC,0
SW-Co-LIC,0
ECS1552,4
ECS2512,22
SFP2185-05,25
SN-Ultra-ACP,4
ACP12V2A,0
DuraFon-BCS,0
DuraFon-UHF-BCO,0
DURAFON-UHF-HC,7
DuraFon-UHF-HSA4,0
DuraFon-UHF-PIA,0
DuraFon-UHF-SYS,0
ECS1008P,1
ECS1112FP,30
ECS1528,0
ECS1528FP,28
ECS1528P,13
ECS1552FP,5
ECS1552P,15
ECS2528FP,25
ECS2552FP,2
ECS5512,18
ECS5512FP,19
ECW120,8
ECW160,42
ECW215,38
ECW220,19
ECW220S,41
ECW230,43
ECW230S,26
ECW260,7
ECW336,29
ENH1350EXT,24
ENH500v3,11
EWS2910P,0
SA2312,0
SN-UL-AK20L-IND,1
Cloud-NFR-Kit,0
SN-UL-AK20L,2
SFP3213-10,29
SFP3185-03,0
PIR075-24-GP-B,6
PIR030-24-GS-B,6
FreeStyl2HC,0
FreeStyl2,0
FreeStyl1HC,0
FreeStyl1,0
EWS850AP,0
EWS377AP,6
EWS1200-28TFP,7
EPA5006HAT,53
EPA5006GR,9
EPA5006GAT,61
EPA2406GR,3
EnStationAC,11
EnStation5-AC,0
EAP1300EXT,0
DURAWALKIE,58
DuraFon-SIP-HC,11
DuraFon-SIP-BU,0
DuraFon-HSA3,0
DuraFon-HSA2,1
DuraFon-HBC,0
DuraFon-BC,0
DuraFon-BA,16
FREESTYL,0
SW-5YR-LIC,0
SW-7YR-LIC,0
AP-7YR-LIC,0
SN-ULTRA-DACC,14
DURAFON,0
DURAFON,5
DURAFON,0
DURAFON,0
FreeStyl,2
FreeStyl,32
DURAFON-ROAM-WK,12
DURAFON,1
DURAFON,5
DURAFON,8
EnStation5-AC,0
ESG510,35
FREESTYL,5
DuraFon-SIP,7
DURAFON,20
ECS5512F,34
ENH500-AX,13
ECS2510FP,15
ENH500-AX,42
ECW270,0
Cloud-Gateway-NFR-Kit,0
ECS1528T,7
Cloud-VPN-NFR-Kit,0
ECW130,33
EPA5090HBT,4
EPA5060GBT,0
EPA5060XBT,0
EPA5060HBT,2
EPA5090GBT,0
EWS7928P-FIT,22
EPA5090XBT,2
EWS377-FIT,54
EWS7952FP-FIT,22
GW-7YR-LIC,0
EWS7952P-FIT,39
GW-Co-LIC,0
GW-3YR-LIC,0
FitCon100,55
GW-1YR-LIC,0
EWS356-FIT,25
EWS375-FIT,0
EWS2910P-FIT,13
EWS357-FIT,51
EWS7928FP-FIT,13
GW-5YR-LIC,0
ESG610,0
EWS850-FIT,0
DURAFONPRO-BUR,0
