SKU Number,Warehouse Quantity
RB2011UiAS-2HnD-IN,0
RBSXTR&R11e-LTE,97
RB3011UiAS-RM,0
RBmAPL-2nD,64
R11e-5HacD,144
RB750r2,152
RB911G-5HPacD-NB,15
RB912UAG-2HPnD,152
RBLHG-5HPnD,110
ACGPSA,22
S-85DLC05D,245
RBDynaDishG-5HacD,0
RBDynaDishG-5HacD-US,374
RBDynaDishG-6HnD,2
RBFTC11,388
RBLDFR&R11e-LTE6,0
RBLHG-2nD,28
RBLHG-2nD-XL,0
RBLHG-5HPnD-US,0
RBLHG-5HPnD-XL,7
RBLHG-5HPnD-XL4pack-US,6
RBLHG-5HPnD-XL-US,32
RBLHG5kit,0
RBLHG5kit-US,5
RBLHG-5nD,8
RBLHG-5nD-US,14
RBLHG-60ad,3
RBLHGG-5acD,5
RBLHGG-5acD-US,0
RBLHGG-5acD-XL,0
RBLHGG-5acD-XL-US,0
RBLHGG-5HPacD2HPnD-XL-US,0
RBLHGG-60ad,28
RBLHGGR&R11e-LTE6,0
RBLHGR,0
RBLHGR&R11e-4G,0
RBLHGR&R11e-LTE,11
RBLHGR&R11e-LTE6,6
RBLHGR&R11e-LTE-US,46
ACMMCXRPSMA,39
RBLtAP-2HnD&R11e-LTE&LR8,11
RBLtAP-2HnD&R11e-LTE6,0
RBOmniTikG-5HacD,14
RBOmniTikG-5HacD-US,0
RBOmniTikPG-5HacD,19
RBOmniTikPG-5HacD-US,22
RBOmniTikU-5HnD,67
RBSXTG-5HPacD-SA,0
RBSXTR,48
RBSXTsq5HPnD,4
RBSXTsq5nD,16
RBSXTsq5nD-US,20
RBSXTsqG-5acD,43
CRS112-8P-4S-IN,16
RBwAPG-5HacD2HnD-US,1
RBwAPR-2nD&R11e-4G,10
RBwAPR-2nD&R11e-LR2,40
RBwAPR-2nD&R11e-LTE,20
Sleeve30,0
solidMOUNT,50
TOF-2400-8V-4,9
S+85DLC03D,270
CRS328-4C-20S-4S+RM,4
5VPOW,13
RB4011iGS+5HacQ2HnD-IN,1
RB4011iGS+5HacQ2HnD-IN-US,0
RB4011iGS+RM,0
RB411U,0
RB450Gx4,0
RB911-5HacD-US,20
RB911G-2HPnD-12S,20
RB912UAG-2HPnD-OUT,12
RB912UAG-5HPnD,225
RB912UAG-5HPnD-OUT,18
RB912UAG-5HPnD-OUT-US,31
RB912UAG-5HPnD-US,158
RB912UAG-6HPnD-OUT,21
RB952Ui-5ac2nD,88
RB952Ui-5ac2nD-TC,24
RB952Ui-5ac2nD-TC-US,38
RB952Ui-5ac2nD-US,88
RB960PGS,0
RB960PGS-PB,0
RB962UiGS-5HacT2HnT,40
RB962UiGS-5HacT2HnT-US,86
RBcAP2n,18
RBcAPGi-5acD2nD,28
RBcAPGi-5acD2nD-US,182
RBM11G,36
RBM33G,210
RBmAP2nD,701
RBMetalG-52SHPacn,629
RBMetalG-52SHPacn-US,31
RBOmniTikUPA-5HnD,30
RBOmniTikUPA-5HnD-US,5
RBPOE,603
RBSXTG-2HnD,0
S-C51DLC40D,20
ACSWIM,0
CA/493U,0
CA150,18
CA411-711,12
CA433U,6
CA493,1
CA800,0
CAOTS,1
CAOTU,20
CCR1016-12S-1S+,57
CCR1036-12G-4S-EM,0
RBSXTsq5HPnD-US,13
CRS125-24G-1S-2HnD-IN,1
CRS305-1G-4S+IN,0
CRS309-1G-8S+IN,304
CRS326-24G-2S+IN,89
CSS106-5G-1S,184
CWDM-MUX8A,2
GPeR-IP67-Case,64
IAMP1E,0
LDF-2nD,76
LDF-5nD,40
LDF-5nD-US,174
OEMMMCX,18
PW48V-12V150W,10
QM,206
QMP,283
QMP-LHG,113
R11e-2HnD,58
R11e-2HPnD,19
R11e-4G,19
R11e-LTE,40
R52HnD,307
RB2011iL-IN,135
RB2011iL-RM,19
RB2011iLS-IN,116
RB800,20
RB911G-5HPnD,80
RB912R-2nD-LTm,11
RB912R-2nD-LTm&R11e-LTE,6
RB921UAGS-5SHPacD-NM,9
RB921UAGS-5SHPacD-NM-US,0
RB921UAGS-5SHPacT-NM,0
RB921UAGS-5SHPacT-NM-US,1
RB922UAGS-5HPacD-NM,27
RB951G-2HnD,4
RBD52G-5HacD2HnD-TC,82
RBDisc-5nD,25
RBDisc-5nD-US,13
