SKU Number,Warehouse Quantity
NBE-2AC-13-US,221
XR5,0
PBE-5AC-400-ISO-US,0
XR2,187
PBE-5AC-620-US,0
PBE-5AC-ISO-GEN2-US,0
PBE-M5-400-US,0
PC-12,0
POE-15-12W,20
POE-24-12W,0
POE-24-24W,62
POE-24-24W-G,148
POE-24-30W-G-WH,26
POE-24-AF5X,28
POE-48-24W,1014
POE-WM,43
PS-5AC-US,0
RAD-RD2,3
RD-5G31-AC,12
RD-5G34,3
RP-5AC-GEN2-US,20
RPS-AC-100W,21
RPS-DC-100W,0
AMO-2G13,4
ACB-AC,0
AF-24,0
AF-24HD,0
SM-SP-40,0
AF-2X,218
AF-3G26-S45,4
AF-3X-US,3
AF-5G-OMT-S45,9
AF-5U,0
AF-5-US,0
ACB-AC-US,2046
AF-5XHD,0
AF60-HD-US,294
AFi-ALN-R-US,34
AFi-ALN-US,16
AFi-G,0
AFi-HD-US,78
AFi-R-US,0
AM-3G18-120,2
SR71-15,51
AM-M-V5G-TI,16
AMO-3G12,1
CRM-P,88
EP-54V-72W,7
ERPRO-8,0
ES-18X,0
Horn-5-30,0
Horn-5-45,43
IS-5AC,0
IS-M5,120
SR71-C,80
IS-M5-US,179
IW-HD-CT-3,19
LBE-5AC-GEN2,0
LBE-5AC-GEN2-5-US,120
LBE-5AC-LR,0
LBE-5AC-LR-5,0
LBE-5AC-LR-5-US,168
Loco5AC-5,0
Loco5AC-5-US,1053
MUSB-1A-B-5,0
nanoHD-RCM-3,0
NBE-5AC-GEN2,0
NBE-M5-19,0
NBM365,0
NSM365,0
PBE-2AC-400,0
PBE-5AC-620,0
PBE-5AC-GEN2,0
PBE-5AC-GEN2-5,0
PBE-5AC-GEN2-5-US,822
PBE-M5-300,0
PBE-M5-300-ISO,0
INS-8023af-I,237
POE-24-24W-WH,366
UBNT-EU,5
U-Cable-Patch-0.3M-RJ45,164
U-Cable-Patch-1M-RJ45,8
U-Cable-Patch-1M-RJ45-BK,18
U-Cable-Patch-2M-RJ45,176
U-Cable-Patch-2M-RJ45-BK,0
U-Cable-Patch-2M-RJ45-BL,2
U-Cable-Patch-3M-RJ45,297
U-Cable-Patch-3M-RJ45-BK,41
U-Cable-Patch-5M-RJ45,293
U-Cable-Patch-5M-RJ45-BK,269
U-Cable-Patch-5M-RJ45-BL,144
U-Cable-Patch-8M-RJ45,0
U-Cable-Patch-8M-RJ45-BK,60
U-Cable-Patch-8M-RJ45-BL,36
U-Cable-Patch-RJ45-BL-50,0
UF-Instant,0
UF-SM-PATCH-APC-APC,90
UF-SM-PATCH-UPC-APC,43
USP-Cable,128
AFi-INS-R-US,0
AFi-INS-US,0
BM2HP,0
BM2HP-US,112
BM5-Ti,0
BulletAC-IP67,0
U6-Lite,0
AF-11-DUP-H,10
AF-11-DUP-L,6
AF-MPX8,4
B-DB-AC,0
LAP-120,0
LAP-GPS,0
LBE-5AC-16-120,0
LBE-5AC-23,0
LBE-M5-23,0
nanoHD-RetroFit-3,2
NBE-19-WM,0
NBE-2AC-13,0
NBE-M2-13,0
NBM9,2
PBE-5AC-ISO-GEN2,0
PS-5AC,0
RM3,0
RM5,0
SR71-X,67
SRC,28
SRC4,32
TC-GND-20,22
UAP-AC-EDU,59
UAP-AC-HD,0
UAP-AC-IW-PRO-5,5
UAP-IW,53
UAP-IW-HD,0
UF-AE,0
UF-GP-B+,0
UF-LOCO-5,13
