SKU Number,Warehouse Quantity
09010091001,10
ANT-CB-6MF,16
ANT-D15-2X2-2G,0
ANT-D15-2X2-5G,0
ANT-D30-2X2-01,0
ANT-D30-4X4-01,4
ANT-D30-4X4-RP,4
ANT-D60-2X2-01,0
ANT-D60-4X4-01,20
ANT-D60-4X4-RP,2
ANT-D90-2X2-01,0
ANT-OM-1X1-03,8
ANT-OM-1X1-04,8
ANT-OM-2X2-03,0
ANT-OM-4X4-01,4
C000065L043A,0
C000065L044A,0
C024045C003A,1
C024045C004A,0
C035045B001A,0
C035045B002A,0
C035045B003A,0
C035045B004A,0
C036045B002A,0
C036045C007A,0
C050065H010A,1
C054045B001A,0
C054045B002A,0
C054045B003A,75
C800082K007A,0
C800085B001A,0
C800085B002A,0
C800085B003A,0
C800085B004A,0
C800085K002A,0
C800085K003A,0
CCADV-SUP-X2-1,0
CCADV-SUP-X2-3,0
CCADV-SUP-X2-5,0
CCADV-SUP-XA4-1,0
CCADV-SUP-XA4-3,0
CCADV-SUP-XA4-5,0
CCADV-SUP-XD2-230-1,0
CCADV-SUP-XD2-230-3,0
CCADV-SUP-XD2-230-5,0
CCADV-SUP-XD2-240-1,0
CCADV-SUP-XD2-240-3,0
CCADV-SUP-XD2-240-5,0
CCADV-SUP-XD4-1,0
CCADV-SUP-XD4-3,0
CCADV-SUP-XD4-5,0
CCADV-SUP-XH2-1,0
CCADV-SUP-XH2-3,0
CCADV-SUP-XH2-5,0
CCADV-SUP-XP8-MSI-1,0
CCADV-SUP-XP8-MSI-3,0
CCADV-SUP-XP8-MSI-5,0
CCADV-SUP-XR-300-1,0
CCADV-SUP-XR-300-3,0
CCADV-SUP-XR-300-5,0
CCPRO-SUP-X2-1,0
CCPRO-SUP-X2-3,0
CCPRO-SUP-X2-5,0
CCPRO-SUP-XA4-1,0
CCPRO-SUP-XA4-3,0
CCPRO-SUP-XA4-5,0
CCPRO-SUP-XD2-230-1,0
CCPRO-SUP-XD2-230-3,0
CCPRO-SUP-XD2-230-5,0
CCPRO-SUP-XD2-240-1,0
CCPRO-SUP-XD2-240-3,0
CCPRO-SUP-XD2-240-5,0
CCPRO-SUP-XD4-1,0
CCPRO-SUP-XD4-3,0
CCPRO-SUP-XD4-5,0
CCPRO-SUP-XH2-1,0
CCPRO-SUP-XH2-3,0
CCPRO-SUP-XH2-5,0
CCPRO-SUP-XMSE-1000-1,0
CCPRO-SUP-XMSE-1000-3,0
CCPRO-SUP-XMSE-1000-5,0
CCPRO-SUP-XMSE-100-1,0
CCPRO-SUP-XMSE-100-3,0
CCPRO-SUP-XMSE-100-5,0
CCPRO-SUP-XMSE-2000-1,0
CCPRO-SUP-XMSE-2000-3,0
CCPRO-SUP-XMSE-2000-5,0
CCPRO-SUP-XMSE-200-1,0
CCPRO-SUP-XMSE-200-3,0
CCPRO-SUP-XMSE-200-5,0
CCPRO-SUP-XMSE-20-1,0
CCPRO-SUP-XMSE-20-3,0
CCPRO-SUP-XMSE-20-5,0
CCPRO-SUP-XMSE-3000-1,0
CCPRO-SUP-XMSE-3000-3,0
CCPRO-SUP-XMSE-3000-5,0
CCPRO-SUP-XMSE-300-1,0
CCPRO-SUP-XMSE-300-3,0
CCPRO-SUP-XMSE-300-5,0
CCPRO-SUP-XMSE-30-1,0
ANT-D30-4X4-RP,4
ANT-D60-2X2-01,0
ANT-D60-4X4-01,20
ANT-D60-4X4-RP,2
ANT-D90-2X2-01,0
ANT-OM-1X1-03,8
ANT-OM-1X1-04,8
ANT-OM-2X2-03,0
ANT-OM-4X4-01,4
C000065L043A,0
C000065L044A,0
C024045C003A,1
C024045C004A,0
C035045B001A,0
C035045B002A,0
C035045B003A,0
C035045B004A,0
C036045B002A,0
C036045C007A,0
C050065H010A,1
C054045B001A,0
C054045B002A,0
C054045B003A,75
C800082K007A,0
C800085B001A,0
C800085B002A,0
C800085B003A,0
C800085B004A,0
C800085K002A,0
C800085K003A,0
CCADV-SUP-X2-1,0
CCADV-SUP-X2-3,0
CCADV-SUP-X2-5,0
CCADV-SUP-XA4-1,0
CCADV-SUP-XA4-3,0
CCADV-SUP-XA4-5,0
CCADV-SUP-XD2-230-1,0
CCADV-SUP-XD2-230-3,0
CCADV-SUP-XD2-230-5,0
CCADV-SUP-XD2-240-1,0
CCADV-SUP-XD2-240-3,0
CCADV-SUP-XD2-240-5,0
CCADV-SUP-XD4-1,0
CCADV-SUP-XD4-3,0
CCADV-SUP-XD4-5,0
CCADV-SUP-XH2-1,0
CCADV-SUP-XH2-3,0
CCADV-SUP-XH2-5,0
CCADV-SUP-XP8-MSI-1,0
CCADV-SUP-XP8-MSI-3,0
CCADV-SUP-XP8-MSI-5,0
CCADV-SUP-XR-300-1,0
CCADV-SUP-XR-300-3,0
CCADV-SUP-XR-300-5,0
CCPRO-SUP-X2-1,0
CCPRO-SUP-X2-3,0
CCPRO-SUP-X2-5,0
CCPRO-SUP-XA4-1,0
CCPRO-SUP-XA4-3,0
CCPRO-SUP-XA4-5,0
CCPRO-SUP-XD2-230-1,0
CCPRO-SUP-XD2-230-3,0
CCPRO-SUP-XD2-230-5,0
CCPRO-SUP-XD2-240-1,0
CCPRO-SUP-XD2-240-3,0
CCPRO-SUP-XD2-240-5,0
