SKU Number,Warehouse Quantity
MMCX-MMCX-25,0
NBS002,100
NB-SXT-LIGHT,100
TPA-R5AC,36
TPA-RBC,58
TPA-RBP,35
OARDSBX55,100
TP-ADAP-C5C,76
TP-ADAP-E2K,0
TP-ADAP-IS,100
TP-ADAPTOR-RM5-S-v2,100
TPA-EPMP,36
TPA-PAF,100
TPA-RM5,100
TPA-SMA,100
THB,100
SBX-AM,38
AH2030-TP,100
AH60-CC,20
AH60-TP,100
AH90-CC,15
AH90-TP,94
AS-2-14,74
AS-2-17,39
AS-5-20,100
HG3-CC-A20,0
HG3-CC-A30,0
HG3-CC-A60,0
HG3-CC-A90,50
HG3-CC-S30,26
HG3-CC-S40,23
HG3-CC-S50,36
HG3-CC-S60,100
HG3-CC-S70,21
HG3-CC-S80,15
HG3-CC-S90,48
HG3-TP-A60-V2,0
HG3-TP-A90,0
HG3-TP-S30,100
HG3-TP-S40,23
HG3-TP-S50,60
HG3-TP-S60,46
HG3-TP-S70,16
HG3-TP-S90,31
OARDSBX-DUAL25,72
RC27-10pack,3
SBX-ALU-6N1E,0
SBX-XL-CC-2-14,30
STA-SMA,100
STD-21-UM-5PACK,100
STD-24-UM-5PACK,100
STD-27-UM-5PACK,100
STH-30-USMA,17
TPA-A5x,100
TPA-C5X,100
UD-TP-21,100
UD-TP-24,100
UD-TP-27,100
UH-CC-5-24,1
UH-TP-5-24,80
ULD-TP-550-4PACK,0
AH30-CC,18
HG3-TP-S80,65
HK_5_16_200MM,0
RRW_13MM,0
AH20-CC,22
