SKU Number,Warehouse Quantity
GRP2624-AU,0
UCM6304A,29
UCM6308,2
UCM6308A,9
UCM6510,2
WP810,99
WP820,44
GMC08,16
DP722,84
DP730,0
DP750,0
DP752,1
DP760,17
GAC2500,39
GBX20,21
GDS3702,5
GDS3705,21
GDS3710,47
GDS37x0-RFID-CARD,5
GDS37x0-FOB,3
GRP2670-AU,0
GDS37X0-RFID-RD,6
GDS37x0-INWALL,6
GSC3620-AU,0
GMD1208,37
GRP2601,79
GRP2601P,100
GRP2602,100
GRP2602P,100
GRP2602W,100
GRP2603,100
GRP2603P,37
GRP2604,99
GRP2604P,54
GRP2612,33
GRP2612P,100
GRP2612W,34
GRP2613,100
GRP2614,64
GRP2615,100
GRP2616,46
GRP2624,0
GRP2634,7
GRP2670,32
GSC3505,0
GSC3510,0
GSC3570,94
GSC3610,33
GSC3615,0
GSC3620,39
GUV3000,34
GUV3005,0
GUV3050,0
GUV3100,14
GVC3200,2
GVC3202,3
GVC3210,1
GVC3212,20
GVC3220,0
GWN7602,30
GWN7605,100
GWN7605LR,21
GWN7615,100
GWN7630,100
GWN7630LR,23
GWN7660,94
GWN7660LR,22
GWN7664,100
DP720,50
GXP1610,27
GXP1615,49
UCM6304,9
UCM6302A,4
UCM6302,8
UCM6301,53
UCM6300A,6
HT818,100
HT814,100
HT813,100
HT812,100
HT802,100
HT801,100
HA100,1
GXW4504,0
GXW4502,32
GXW4501,34
GXW4232,0
GXW4216,0
GXW4108,0
GXW4104,3
GXV3380,36
GXV3370,100
GXV3350,49
GXP2200EXT,47
GXP2170,100
GXP2160,88
GXP2140,100
GXP2135,100
GXP2130,100
GXP1782,0
GXP1630,100
GXP1628,100
GXP1625,53
GXP1620,89
UCMRC-50GB-Storage-Add-On,0
UCMRC-Admin-Only-Add-On,0
UCMRC-Business,0
UCMRC-Enterprise,0
UCMRC-Plus,0
UCMRC-Cloud-IM-Add-On,0
UCMRC-Pro,0
GRP2602G,100
GRP2650,4
GS-PoE,79
GWN7052,16
GWN7062,60
GWN7624,14
GWN7625,100
GWN7664LR,21
GXV3450,2
GXV3470,8
GXV3380_WM,3
GXV3611IR_HD,3
GXW4216-V2,11
GXW4224-V2,27
GXW4232-V2,5
GXW4248-V2,43
WP822,42
WP825,0
GDS3712,5
GRP_WM_L,100
GRP_WM_S,22
GSC3516,97
GSC3506,27
GHP621W,100
GHP611W,32
GHP610,44
GRP2612G,100
GHP610W,21
GRP2636,19
GHP620,0
GHP621,18
GHP620W,33
GHP611,100
GAC2570,15
GWN7802P,27
GWN7802,25
GWN7801,25
GWN7801P,100
GWN7803,14
GXV3480,3
GWN7803P,51
GRP_WM_A,72
GWN7052F,10
GWN7001,40
GWN7002,35
GWN7003,31
GWN7700,0
GWN7701,48
GWN7701PA,48
GWN7701P,48
GWN7662,61
GWN7661,31
UCM-ATL-0823,0
GWN-ATL-0823,0
