SKU Number,Warehouse Quantity,Cost
ControllerLvl4,0,27.95
ControllerLvl5,0,55.00
ControllerLvl6,0,151.00
SR-10U,0,47.00
Q+BC0003-S+,0,50.65
RB924i-2nD-BT5&BG77,0,82.00
RBD23UGS-5HPacD2HnD-NM,0,135.65
RBwAPG-5HacD2HnD-BE,16,74.70
S+C57DLC10D,0,104.18
S-4554LC80D,6,74.16
SAW30-240-1200GA,63,9.63
XS+31LC10D,0,125.20
XS+DA0003,0,32.22
RBD52G-5HacD2HnD-TC-US,0,61.83
ACSMAUFL,25,7.00
HGO-antenna-OUT,100,7.95
MTAO-LTE-5D-SQ,20,16.01
PL6400,11,22.83
Q+DA0001,0,28.28
RBLDFG-5acD,39,50.50
RBLDFG-5acD-US,100,50.50
CubeG-5ac60adpair-US,3,212.00
CubeG-5ac60ad,14,110.43
GESP+POE-IN,20,13.10
RB2011UiAS-2HnD-IN,0,101.83
RBSXTR&R11e-LTE,97,117.90
RB3011UiAS-RM,0,138.95
RBmAPL-2nD,14,24.50
R11e-5HacD,100,37.79
RB750r2,100,39.34
RB911G-5HPacD-NB,15,91.95
GPeR-IP67-Case,34,6.00
IAMP1E,0,9.95
LDF-2nD,76,29.03
LDF-5nD,40,34.79
LDF-5nD-US,100,34.79
OEMMMCX,18,7.00
PW48V-12V150W,0,80.42
QM,100,3.70
QMP,100,5.90
QMP-LHG,100,5.90
R11e-2HnD,58,27.04
R11e-2HPnD,0,27.21
R11e-4G,19,59.29
R11e-LTE,40,63.59
R52HnD,100,36.72
RB2011iL-IN,100,81.51
RB2011iL-RM,19,81.51
RB2011iLS-IN,96,87.35
RB800,20,270.95
RB911G-5HPnD,80,42.11
RB912R-2nD-LTm,10,78.30
RB912R-2nD-LTm&R11e-LTE,6,116.79
RB921UAGS-5SHPacD-NM,9,128.81
RB921UAGS-5SHPacD-NM-US,0,128.81
RB921UAGS-5SHPacT-NM,0,136.33
RB921UAGS-5SHPacT-NM-US,1,136.33
RB922UAGS-5HPacD-NM,13,121.28
RB951G-2HnD,4,72.08
RBD52G-5HacD2HnD-TC,100,61.83
RBDisc-5nD,25,50.79
RBDisc-5nD-US,13,50.79
RBDiscG-5acD,24,59.25
RBGroove-52HPn,0,47.12
RBGrooveA-52HPn,100,62.17
RBGrooveGA-52HPacn,0,78.30
RBGrooveGA-52HPacn-US,0,78.30
RBSXTG-5HPnD-SAr2,100,80.16
RBSXTG-5HPnD-SAr2-US,100,80.16
RBSXTG-6HPnD,34,79.65
RBSXTR&R11e-LTE6,38,132.61
RBSXTsq2nD,4,34.76
RBwAPG-60ad-A,27,111.34
RBwAPR-2nD,41,71.39
RBwsAP-5Hac2nD,94,45.60
RBwsAP-5Hac2nD-US,49,48.90
S+RJ10,98,52.17
S-3553LC20D,40,56.96
S-C47DLC40D,11,28.55
S-RJ01,0,23.39
TG-BT5-IN,5,9.00
TG-BT5-OUT,23,13.80
WMK4011,0,11.75
Woobm-USB,54,18.95
XS+2733LC15D,0,280.60
CCR1016-12G,11,570.10
24V4APOW,0,28.74
CSS610-1Gi-7R-2S+OUT,76,126.00
RB911-5HacD,40,39.31
RB911G-5HPnD-QRT,5,142.00
CA600,72,9.00
RB911G-5HPnD-QRT-US,0,142.00
RB921GS-5HPacD-15S,6,116.58
RB921GS-5HPacD-19S,8,171.94
RB921GS-5HPacD-19S-US,0,171.94
RB922UAGS-5HPacD,31,82.00
RB922UAGS-5HPacD-US,100,82.00
RBcAPGi-5acD2nD-XL,10,85.25
