SKU Number,Warehouse Quantity
A20-010-Teams,0
A20-020-Teams,0
A20-020-Zoom,0
A20-021-Teams,0
A30-010-Teams,0
A30-020-Teams,0
A30-020-Zoom,0
A30-021-Teams,0
BLT60,9
CP700,3
CP900,2
CPN10,0
SIP-T31G,26
W59R,38
W90B,2
WH63-Teams,9
WH63-UC,0
WH66Dual-Teams,10
WH66Dual-UC,2
WH67-Teams,8
WH67-UC,6
WHC60,12
MP50,30
CAM50,2
CPE90,0
CPW90,0
DD10K,18
EHS36,5
EHS40,3
WF40,58
BT41,29
PS5V1200US,11
PS5V2000US,100
PS5V600US,32
SIP-T54W,6
SIP-T43U,31
CP920,15
CP925,4
CP935W,2
CP935W-Base,2
CP965,11
EXP20,20
EXP43,10
EXP50,11
MP54,21
MP54-SFB,0
YLPOE30,11
WH62Mono-UC,45
WH62Mono-Teams,7
WH62Dual-UC,34
WH62Dual-Teams,8
WF50,10
W80DM,1
W80B,68
W56H,4
VP59,3
VCM38,0
UVC86,0
UVC40,1
SIP-T58W,7
SIP-T57W,20
SIP-T53W,11
SIP-T53,13
SIP-T48U,44
SIP-T46U,38
SIP-T33G,69
SIP-T31P,37
RT30,5
MP58-WH-Teams,3
MP58-WH-SFB,0
MP58-Teams,0
MP58-SFB,0
MP56-SFB,0
MP56,10
MP54-Teams,0
CP900,10
W53H,10
YHS36,12
YHS36,6
CP700,2
W73H,10
W73P,16
SIP-T58W,8
YHS34,0
YHS34,0
YHS34,0
YHS34,0
VCM36-W,0
W76P,3
W77P,17
W70B,4
SIP-T58A,5
W90DM,2
MVC860-C3-000,0
VCM34,0
RCH40,0
MVC-BYOD-Extender,0
