name,Price,Stock in Ohio,Stock in Utah
MikroTik ControllerLvl4 MikroTik Controller (level 4) license,$27.95,Ohio : 0,Utah : 0
MikroTik ControllerLvl5 MikroTik Controller (level 5) license,$55.00,Ohio : 0,Utah : 0
MikroTik ControllerLvl6 MikroTik Controller (level 6) license,$151.00,Ohio : 0,Utah : 0
MikroTik SR-10U 19in 10U Desktop Rack,$47.00,Ohio : 0,Utah : 0
MikroTik Q+BC0003-S+ 40Gbps QSFP+ Brake-Out Cable-4x10G SFP+,$50.65,Ohio : 0,Utah : 0
MikroTik RB924i-2nD-BT5&BG77 IoT Gateway 2.4GHz CAT-M/NB,$82.00,Ohio : 0,Utah : 0
MikroTik RBD23UGS-5HPacD2HnD-NM 2.4/5GHz NetMetal ac² 256MB ROW,$135.65,Ohio : 0,Utah : 0
MikroTik RBwAPG-5HacD2HnD-BE 2.4/5GHz wAP ac 128MB Black,$74.70,Ohio : 1,Utah : 15
MikroTik S+C57DLC10D SFP+ CWDM module 10G 10km 1570nm,$104.18,Ohio : 0,Utah : 0
MikroTik S-4554LC80D SFP Pair of Modules S-45LC80D+S-54LC80D,$74.16,Ohio : 0,Utah : 6
MikroTik SAW30-240-1200GA 24V 1.2A Power Supply Straight Plug,$9.63,Ohio : 20,Utah : 43
"MikroTik XS+31LC10D 1.25G SFP, 10G SFP+, 25G SFP28 Module",$125.20,Ohio : 0,Utah : 0
MikroTik XS+DA0003 SFP28/SFP/SFP+ 3m Direct Attach Cable,$32.22,Ohio : 0,Utah : 0
MikroTik RBD52G-5HacD2HnD-TC-US 2.4/5GHz hAP 802.11ac Tower US,$61.83,Ohio : 0,Utah : 0
MikroTik ACSMAUFL U.fl-SMA Female Pigtail for wAP R,$7.00,Ohio : 25,Utah : 0
MikroTik HGO-antenna-OUT 2.4/5GHz Screw-on Omni,$7.95,Ohio : 169,Utah : 0
MikroTik MTAO-LTE-5D-SQ 699-2690MHz Omni Antenna LTE,$16.01,Ohio : 20,Utah : 0
MikroTik PL6400 Smart Power Adapter Type A,$22.83,Ohio : 5,Utah : 6
MikroTik Q+DA0001 40Gbps Direct Attach QSFP+ Cable,$28.28,Ohio : 0,Utah : 0
MikroTik RBLDFG-5acD 5GHz LDF 9dBi 802.11ac 2x2 L3 ROW,$50.50,Ohio : 19,Utah : 20
MikroTik RBLDFG-5acD-US 5GHz LDF 9dBi 802.11ac 2x2 L3 US,$50.50,Ohio : 297,Utah : 0
MikroTik CubeG-5ac60adpair-US 60GHz 2Gbps CubeG-5ac60ad Pair US,$212.00,Ohio : 3,Utah : 0
